system;laufzeit;kosten;ablaufleistung;;;;;;
Fondssparplan;12;0.00;19638.39;;;;;;
Fondssparplan;12;0.10;19500.03;;;;;;
Fondssparplan;12;0.20;19362.76;;;;;;
Fondssparplan;12;0.30;19226.55;;;;;;
Fondssparplan;12;0.40;19091.40;;;;;;
Fondssparplan;12;0.50;18957.31;;;;;;
Fondssparplan;12;0.60;18824.26;;;;;;
Fondssparplan;12;0.70;18692.24;;;;;;
Fondssparplan;12;0.80;18561.26;;;;;;
Fondssparplan;12;0.90;18431.30;;;;;;
Fondssparplan;12;1.00;18302.34;;;;;;
Fondssparplan;12;1.10;18174.40;;;;;;
Fondssparplan;12;1.20;18047.33;;;;;;
Fondssparplan;12;1.30;17921.05;;;;;;
Fondssparplan;12;1.40;17795.75;;;;;;
Fondssparplan;12;1.50;17671.43;;;;;;
Fondssparplan;12;1.60;17548.08;;;;;;
Fondssparplan;12;1.70;17425.70;;;;;;
Fondssparplan;12;1.80;17304.26;;;;;;
Fondssparplan;12;1.90;17183.78;;;;;;
Fondssparplan;12;2.00;17064.23;;;;;;
Fondssparplan;12;2.10;16945.62;;;;;;
Fondssparplan;12;2.20;16827.93;;;;;;
Fondssparplan;12;2.30;16711.16;;;;;;
Fondssparplan;12;2.40;16595.30;;;;;;
Fondssparplan;12;2.50;16480.34;;;;;;
Fondssparplan;20;0.00;39676.86;;;;;;
Fondssparplan;20;0.10;39200.29;;;;;;
Fondssparplan;20;0.20;38730.28;;;;;;
Fondssparplan;20;0.30;38266.74;;;;;;
Fondssparplan;20;0.40;37809.58;;;;;;
Fondssparplan;20;0.50;37358.70;;;;;;
Fondssparplan;20;0.60;36914.02;;;;;;
Fondssparplan;20;0.70;36475.44;;;;;;
Fondssparplan;20;0.80;36042.89;;;;;;
Fondssparplan;20;0.90;35616.27;;;;;;
Fondssparplan;20;1.00;35195.50;;;;;;
Fondssparplan;20;1.10;34780.49;;;;;;
Fondssparplan;20;1.20;34371.02;;;;;;
Fondssparplan;20;1.30;33966.90;;;;;;
Fondssparplan;20;1.40;33568.32;;;;;;
Fondssparplan;20;1.50;33175.19;;;;;;
Fondssparplan;20;1.60;32787.43;;;;;;
Fondssparplan;20;1.70;32404.98;;;;;;
Fondssparplan;20;1.80;32027.75;;;;;;
Fondssparplan;20;1.90;31655.68;;;;;;
Fondssparplan;20;2.00;31288.68;;;;;;
Fondssparplan;20;2.10;30926.68;;;;;;
Fondssparplan;20;2.20;30569.61;;;;;;
Fondssparplan;20;2.30;30217.41;;;;;;
Fondssparplan;20;2.40;29870.00;;;;;;
Fondssparplan;20;2.50;29527.32;;;;;;
Fondssparplan;30;0.00;76675.72;;;;;;
Fondssparplan;30;0.10;75236.12;;;;;;
Fondssparplan;30;0.20;73827.51;;;;;;
Fondssparplan;30;0.30;72449.22;;;;;;
Fondssparplan;30;0.40;71100.54;;;;;;
Fondssparplan;30;0.50;69780.83;;;;;;
Fondssparplan;30;0.60;68489.42;;;;;;
Fondssparplan;30;0.70;67225.67;;;;;;
Fondssparplan;30;0.80;65988.98;;;;;;
Fondssparplan;30;0.90;64778.73;;;;;;
Fondssparplan;30;1.00;63594.32;;;;;;
Fondssparplan;30;1.10;62435.18;;;;;;
Fondssparplan;30;1.20;61300.54;;;;;;
Fondssparplan;30;1.30;60189.71;;;;;;
Fondssparplan;30;1.40;59102.51;;;;;;
Fondssparplan;30;1.50;58038.40;;;;;;
Fondssparplan;30;1.60;56996.88;;;;;;
Fondssparplan;30;1.70;55977.43;;;;;;
Fondssparplan;30;1.80;54979.57;;;;;;
Fondssparplan;30;1.90;54002.80;;;;;;
Fondssparplan;30;2.00;53046.65;;;;;;
Fondssparplan;30;2.10;52110.67;;;;;;
Fondssparplan;30;2.20;51194.39;;;;;;
Fondssparplan;30;2.30;50297.39;;;;;;
Fondssparplan;30;2.40;49419.22;;;;;;
Fondssparplan;30;2.50;48559.47;;;;;;
Fondssparplan;40;0.00;133468.55;;;;;;
Fondssparplan;40;0.10;129984.61;;;;;;
Fondssparplan;40;0.20;126603.75;;;;;;
Fondssparplan;40;0.30;123322.76;;;;;;
Fondssparplan;40;0.40;120138.57;;;;;;
Fondssparplan;40;0.50;117048.19;;;;;;
Fondssparplan;40;0.60;114048.73;;;;;;
Fondssparplan;40;0.70;111137.38;;;;;;
Fondssparplan;40;0.80;108311.44;;;;;;
Fondssparplan;40;0.90;105568.26;;;;;;
Fondssparplan;40;1.00;102905.30;;;;;;
Fondssparplan;40;1.10;100320.10;;;;;;
